neighbors,dot,wall,loop,manhatan,path,panic_dist,wall_rate,depth,randomes,probability,Average,Max,Min,WinRate,Time
8,3,2,3,5,10,6,0.1,10,False,0.95,426.3,652,52,0.0,0.5678627707999999
8,3,2,3,5,10,6,0.1,15,False,0.95,583.0,860,80,0.0,2.9369302208
8,3,2,3,5,10,6,0.1,20,False,0.95,24.8,248,0,0.0,0.6037419041000001
8,3,2,3,5,10,6,0.1,20,False,0.95,66.0,412,0,0.0,1.9239359875000002
8,3,2,3,5,10,6,0.1,20,False,0.95,116.4,504,0,0.0,3.5410677041
8,3,2,3,5,10,6,0.1,20,False,0.95,191.6,752,0,0.0,6.076335275
8,3,2,3,5,10,6,0.1,20,False,0.95,249.7,752,0,0.0,12.0807362625
8,3,2,3,5,10,6,0.1,20,False,0.95,265.7,752,0,0.0,12.4827824166
8,3,2,3,5,10,6,0.1,20,False,0.95,298.5,752,0,0.0,13.661668037499998
8,3,2,3,5,10,6,0.1,20,False,0.95,356.7,752,0,0.0,15.35481485
8,3,2,3,5,10,6,0.1,20,False,0.95,413.8,752,0,0.0,17.2992937416
8,3,2,3,5,10,6,0.1,20,False,0.95,485.6,752,160,0.0,19.7251474666
